symbol,session_date,side,play,entry,sl,tp,or_high,or_low,volume,signal_open_ms,entry_bar_open_ms,outcome,exit_price,exit_bar_open_ms,pnl_r,pnl_usdt,notional_usdt,resolve_note,bars_seen
COINUSDT,2026-04-20,LONG,ORB_BREAKOUT_LONG,204.66,204.18029751,,204.64,200.14,918.86,1776694800000,1776694800000,loss,204.18029751,1776696060000,-1.0,-85.0,36264.3521,resolved:auto,17
COINUSDT,2026-04-21,SHORT,ORB_BREAKOUT_SHORT,205.46,205.97793802,,211.42,205.48,1222.65,1776783300000,1776783300000,session_close,195.9,1776801540000,18.457807,1568.9136,33718.5133,resolved:session_close,300
COINUSDT,2026-04-22,LONG,ORB_BREAKOUT_LONG,208.73,208.20516469,,208.71,202.54,3514.97,1776865500000,1776865500000,loss,208.20516469,1776865860000,-1.0,-85.0,33804.9854,resolved:auto,2
COINUSDT,2026-04-23,SHORT,ORB_BREAKOUT_SHORT,201.59,202.11920422,,205.8,201.61,1618.65,1776952200000,1776952200000,loss,202.11920422,1776956040000,-1.0,-85.0,32379.088,resolved:auto,60
COINUSDT,2026-04-24,SHORT,ORB_BREAKOUT_SHORT,200.63,201.14372534,,202.45,200.65,1195.17,1777038600000,1777038600000,loss,201.14372534,1777045500000,-1.0,-85.0,33195.8513,resolved:auto,111
COINUSDT,2026-04-27,SHORT,ORB_BREAKOUT_SHORT,197.0,197.45999256,,204.35,197.02,206.26,1777302900000,1777302900000,loss,197.45999256,1777310460000,-1.0,-85.0,36402.7627,resolved:auto,122
COINUSDT,2026-04-28,LONG,ORB_BREAKOUT_LONG,194.14,193.68104263,,194.12,188.92,25.42,1777401600000,1777401600000,session_close,194.12,1777406340000,-0.043577,-3.704,35955.1912,resolved:session_close,75
COINUSDT,2026-04-30,LONG,ORB_BREAKOUT_LONG,184.54,184.05487859,,184.52,180.02,1602.66,1777557600000,1777557600000,loss,184.05487859,1777558500000,-1.0,-85.0,32333.9677,resolved:auto,11
COINUSDT,2026-05-01,LONG,ORB_BREAKOUT_LONG,193.01,192.53331583,,192.99,189.97,1614.3,1777643700000,1777643700000,loss,192.53331583,1777644600000,-1.0,-85.0,34416.6033,resolved:auto,11
COINUSDT,2026-05-04,LONG,ORB_BREAKOUT_LONG,202.34,201.89809344,,202.32,198.33,731.28,1777904400000,1777904400000,session_close,203.06,1777924740000,1.629304,138.4908,38919.7662,resolved:session_close,335
COINUSDT,2026-05-05,SHORT,ORB_BREAKOUT_SHORT,202.51,202.98937752,,208.92,202.53,4040.76,1777989000000,1777989000000,session_close,197.72,1778011140000,9.992125,849.3306,35907.7122,resolved:session_close,365
COINUSDT,2026-05-07,SHORT,ORB_BREAKOUT_SHORT,194.22,194.73819287,,197.66,194.24,633.64,1778169300000,1778169300000,session_close,192.88,1778183940000,2.58591,219.8023,31858.2153,resolved:session_close,240
COINUSDT,2026-05-08,LONG,ORB_BREAKOUT_LONG,187.31,186.76046377,,187.29,183.04,2565.28,1778249400000,1778249400000,session_close,201.34,1778270340000,25.530619,2170.1026,28972.3391,resolved:session_close,345
COINUSDT,2026-05-11,LONG,ORB_BREAKOUT_LONG,201.28,200.7314391,,201.26,192.97,4801.66,1778507100000,1778507100000,session_close,216.69,1778529540000,28.091685,2387.7932,31188.5153,resolved:session_close,370
