symbol,session_date,side,play,entry,sl,tp,or_high,or_low,volume,signal_open_ms,entry_bar_open_ms,outcome,exit_price,exit_bar_open_ms,pnl_r,pnl_usdt,notional_usdt,resolve_note,bars_seen
GOOGLUSDT,2026-04-20,SHORT,ORB_BREAKOUT_SHORT,337.73,338.11781248,,341.51,337.75,136.07,1776697200000,1776697200000,loss,338.11781248,1776698460000,-1.0,-85.0,74023.0175,resolved:auto,17
GOOGLUSDT,2026-04-21,SHORT,ORB_BREAKOUT_SHORT,335.99,336.3773973,,339.24,336.01,195.61,1776788400000,1776788400000,session_close,332.56,1776801540000,8.853959,752.5866,73720.5706,resolved:session_close,215
GOOGLUSDT,2026-04-22,LONG,ORB_BREAKOUT_LONG,337.52,337.13980965,,337.5,335.68,190.42,1776865800000,1776865800000,loss,337.13980965,1776875400000,-1.0,-85.0,75460.0952,resolved:auto,156
GOOGLUSDT,2026-04-23,LONG,ORB_BREAKOUT_LONG,341.71,341.32975182,,341.69,338.84,18.17,1776957300000,1776957300000,loss,341.32975182,1776958200000,-1.0,-85.0,76385.244,resolved:auto,11
GOOGLUSDT,2026-04-24,LONG,ORB_BREAKOUT_LONG,339.35,338.96101954,,339.33,335.87,218.88,1777038300000,1777038300000,loss,338.96101954,1777038960000,-1.0,-85.0,74154.7532,resolved:auto,7
GOOGLUSDT,2026-04-27,LONG,ORB_BREAKOUT_LONG,347.38,347.02036915,,347.36,342.8,885.06,1777298100000,1777298100000,session_close,350.75,1777319940000,9.37072,796.5112,82104.4691,resolved:session_close,360
GOOGLUSDT,2026-04-28,LONG,ORB_BREAKOUT_LONG,349.74,349.38298564,,349.72,346.58,238.73,1777385100000,1777385100000,loss,349.38298564,1777392180000,-1.0,-85.0,83268.0792,resolved:auto,114
GOOGLUSDT,2026-04-30,SHORT,ORB_BREAKOUT_SHORT,367.66,368.14499963,,377.43,367.68,558.8,1777559400000,1777559400000,loss,368.14499963,1777560120000,-1.0,-85.0,64435.3069,resolved:auto,8
GOOGLUSDT,2026-05-01,LONG,ORB_BREAKOUT_LONG,384.01,383.5163932,,383.99,379.41,637.3,1777643700000,1777643700000,loss,383.5163932,1777644660000,-1.0,-85.0,66127.2292,resolved:auto,12
GOOGLUSDT,2026-05-04,SHORT,ORB_BREAKOUT_SHORT,382.02,382.46112359,,387.22,382.04,365.74,1777902300000,1777902300000,loss,382.46112359,1777902960000,-1.0,-85.0,73611.3433,resolved:auto,7
GOOGLUSDT,2026-05-05,SHORT,ORB_BREAKOUT_SHORT,385.05,385.51915048,,392.75,385.07,309.31,1778001300000,1778001300000,loss,385.51915048,1778002620000,-1.0,-85.0,69762.7976,resolved:auto,18
GOOGLUSDT,2026-05-06,LONG,ORB_BREAKOUT_LONG,396.68,396.21600313,,396.66,392.87,691.2,1778075100000,1778075100000,loss,396.21600313,1778075400000,-1.0,-85.0,72668.1626,resolved:auto,1
GOOGLUSDT,2026-05-07,SHORT,ORB_BREAKOUT_SHORT,396.74,397.21038995,,400.73,396.76,426.96,1778161500000,1778161500000,loss,397.21038995,1778161980000,-1.0,-85.0,71691.3701,resolved:auto,4
