date,wallet_usdt,return_pct
2026-02-23,10000.0000,0.0000
2026-02-23,10434.6576,4.3466
2026-02-24,10345.9630,3.4596
2026-02-25,12306.3664,23.0637
2026-02-26,12201.7623,22.0176
2026-02-27,12098.0473,20.9805
2026-03-02,11995.2139,19.9521
2026-03-03,11893.2546,18.9325
2026-03-04,12547.3713,25.4737
2026-03-05,12440.7186,24.4072
2026-03-06,12334.9725,23.3497
2026-03-09,12230.1252,22.3013
2026-03-10,12126.1691,21.2617
2026-03-12,12023.0967,20.2310
2026-03-13,11920.9004,19.2090
2026-03-16,11819.5727,18.1957
2026-03-17,11990.1525,19.9015
2026-03-19,11888.2362,18.8824
2026-03-20,11787.1862,17.8719
2026-03-23,11686.9951,16.8700
2026-03-24,14656.9884,46.5699
2026-03-25,14532.4040,45.3240
2026-03-26,14408.8786,44.0888
2026-03-27,14971.2848,49.7128
2026-03-30,14844.0289,48.4403
2026-03-31,14717.8547,47.1785
2026-04-01,14592.7529,45.9275
2026-04-02,15450.0669,54.5007
2026-04-07,15318.7413,53.1874
2026-04-08,17390.1016,73.9010
2026-04-09,17242.2857,72.4229
2026-04-13,19530.6137,95.3061
2026-04-14,19364.6035,93.6460
2026-04-15,22412.6586,124.1266
2026-04-16,22222.1510,122.2215
2026-04-17,22033.2627,120.3326
2026-04-20,21845.9800,118.4598
2026-04-21,25001.3381,150.0134
2026-04-22,24788.8267,147.8883
2026-04-23,24578.1217,145.7812
2026-04-24,24369.2077,143.6921
2026-04-27,24162.0694,141.6207
2026-04-28,24153.4019,141.5340
2026-04-30,23948.0980,139.4810
2026-05-01,23744.5392,137.4454
2026-05-04,24073.3793,140.7338
2026-05-05,26053.6692,160.5367
2026-05-07,26656.3125,166.5631
2026-05-08,32545.7107,225.4571
2026-05-11,39847.1086,298.4711
2026-05-13,39508.4082,295.0841
2026-05-14,39172.5867,291.7259
2026-05-15,38839.6197,288.3962
2026-05-18,38509.4829,285.0948
2026-05-19,38182.1523,281.8215
2026-05-20,37857.6040,278.5760
2026-05-21,37535.8144,275.3581
2026-05-22,41291.6237,312.9162
2026-05-26,40940.6449,309.4064
2026-05-27,40592.6494,305.9265
2026-05-28,48216.5678,382.1657
2026-05-29,52035.5923,420.3559
2026-06-01,51593.2898,415.9329
2026-06-02,53013.6221,430.1362
2026-06-03,58463.8398,484.6384
2026-06-04,57966.8972,479.6690
2026-06-05,61216.2317,512.1623
2026-06-08,65614.8173,556.1482
2026-06-09,65057.0914,550.5709
