session_date,symbol,side,outcome,entry,sl,exit,risk_frac_pct,notional_usdt,margin_usdt_5x,pnl_usdt,pnl_r,wallet_before,wallet_after
2026-02-23,COIN,SHORT,eod,162.07,162.4337,160.21,0.2244,3787.36,757.47,43.47,5.11,1000.0,1043.4658
2026-02-24,COIN,LONG,sl,156.1,155.7274,155.7274,0.2387,3715.74,743.15,-8.87,-1.0,1043.4658,1034.5963
2026-02-25,COIN,LONG,eod,174.33,173.8962,184.0,0.2488,3534.2,706.84,196.04,22.29,1034.5963,1230.6366
2026-02-26,COIN,LONG,sl,184.91,184.4732,184.4732,0.2362,4427.86,885.57,-10.46,-1.0,1230.6366,1220.1762
2026-02-27,COIN,LONG,sl,176.34,175.8939,175.8939,0.253,4099.5,819.9,-10.37,-1.0,1220.1762,1209.8047
2026-03-02,COIN,LONG,sl,180.71,180.252,180.252,0.2535,4057.18,811.44,-10.28,-1.0,1209.8047,1199.5214
2026-03-03,COIN,SHORT,sl,175.88,176.356,176.356,0.2706,3767.43,753.49,-10.2,-1.0,1199.5214,1189.3255
2026-03-04,COIN,LONG,eod,205.19,204.6321,208.8,0.2719,3717.96,743.59,65.41,6.47,1189.3255,1254.7372
2026-03-05,COIN,LONG,sl,212.67,212.1066,212.1066,0.2649,4025.7,805.14,-10.67,-1.0,1254.7372,1244.0719
2026-03-06,COIN,SHORT,sl,197.84,198.4102,198.4102,0.2882,3668.93,733.79,-10.57,-1.0,1244.0719,1233.4973
2026-03-09,COIN,SHORT,sl,196.73,197.2722,197.2722,0.2756,3804.39,760.88,-10.48,-1.0,1233.4973,1223.0126
2026-03-10,COIN,SHORT,sl,197.18,197.7308,197.7308,0.2793,3721.68,744.34,-10.4,-1.0,1223.0126,1212.617
2026-03-12,COIN,SHORT,sl,194.21,194.7395,194.7395,0.2727,3780.19,756.04,-10.31,-1.0,1212.617,1202.3098
2026-03-13,COIN,SHORT,sl,199.32,199.8644,199.8644,0.2731,3741.72,748.34,-10.22,-1.0,1202.3098,1192.0902
2026-03-16,COIN,SHORT,sl,200.25,200.7655,200.7655,0.2574,3935.93,787.19,-10.13,-1.0,1192.0902,1181.9574
2026-03-17,COIN,LONG,eod,209.37,208.8223,210.3,0.2616,3840.25,768.05,17.06,1.7,1181.9574,1199.0154
2026-03-19,COIN,LONG,sl,197.63,197.1271,197.1271,0.2545,4005.01,801.0,-10.19,-1.0,1199.0154,1188.8238
2026-03-20,COIN,SHORT,sl,199.69,200.1903,200.1903,0.2505,4033.31,806.66,-10.11,-1.0,1188.8238,1178.7188
2026-03-23,COIN,LONG,sl,202.33,201.8245,201.8245,0.2498,4010.08,802.02,-10.02,-1.0,1178.7188,1168.6997
2026-03-24,COIN,SHORT,eod,197.16,197.7015,180.97,0.2747,3616.82,723.37,297.0,29.9,1168.6997,1465.6991
2026-03-25,COIN,SHORT,sl,184.65,185.2103,185.2103,0.3034,4105.79,821.16,-12.46,-1.0,1465.6991,1453.2407
2026-03-26,COIN,LONG,sl,178.05,177.5351,177.5351,0.2892,4271.64,854.33,-12.35,-1.0,1453.2407,1440.8882
2026-03-27,COIN,SHORT,eod,163.74,164.2757,161.28,0.3272,3743.43,748.69,56.24,4.59,1440.8882,1497.1288
2026-03-30,COIN,SHORT,sl,163.08,163.6447,163.6447,0.3463,3675.21,735.04,-12.73,-1.0,1497.1288,1484.4032
2026-03-31,COIN,LONG,sl,165.56,165.0377,165.0377,0.3155,3999.16,799.83,-12.62,-1.0,1484.4032,1471.7858
2026-04-01,COIN,SHORT,sl,172.94,173.4587,173.4587,0.2999,4170.93,834.19,-12.51,-1.0,1471.7858,1459.2756
2026-04-02,COIN,LONG,eod,167.98,167.4678,171.52,0.3049,4068.13,813.63,85.73,6.91,1459.2756,1545.007
2026-04-07,COIN,SHORT,sl,169.5,169.9696,169.9696,0.277,4740.58,948.12,-13.13,-1.0,1545.007,1531.8744
2026-04-08,COIN,SHORT,eod,183.1,183.596,175.21,0.2709,4806.92,961.38,207.14,15.91,1531.8744,1739.0105
2026-04-09,COIN,SHORT,sl,171.91,172.3614,172.3614,0.2626,5629.54,1125.91,-14.78,-1.0,1739.0105,1724.2289
2026-04-13,COIN,LONG,eod,167.32,166.8589,174.52,0.2756,5317.82,1063.56,228.83,15.61,1724.2289,1953.0617
2026-04-14,COIN,LONG,sl,186.22,185.7729,185.7729,0.2401,6914.29,1382.86,-16.6,-1.0,1953.0617,1936.4607
2026-04-15,COIN,LONG,eod,186.63,186.1218,196.04,0.2723,6045.26,1209.05,304.81,18.52,1936.4607,2241.2663
2026-04-16,COIN,SHORT,sl,192.48,192.9421,192.9421,0.2401,7935.39,1587.08,-19.05,-1.0,2241.2663,2222.2155
2026-04-17,COIN,LONG,sl,206.95,206.4374,206.4374,0.2477,7625.25,1525.05,-18.89,-1.0,2222.2155,2203.3267
2026-04-20,COIN,LONG,sl,204.66,204.127,204.127,0.2604,7191.81,1438.36,-18.73,-1.0,2203.3267,2184.5984
2026-04-21,COIN,SHORT,eod,205.46,206.0226,195.9,0.2738,6781.38,1356.28,315.54,16.99,2184.5984,2500.1343
2026-04-22,COIN,LONG,sl,208.73,208.1752,208.1752,0.2658,7994.68,1598.94,-21.25,-1.0,2500.1343,2478.8832
2026-04-23,COIN,SHORT,sl,201.59,202.1148,202.1148,0.2603,8093.31,1618.66,-21.07,-1.0,2478.8832,2457.8127
2026-04-24,COIN,SHORT,sl,200.63,201.1475,201.1475,0.2579,8099.25,1619.85,-20.89,-1.0,2457.8127,2436.9213
2026-04-27,COIN,SHORT,sl,197.0,197.4785,197.4785,0.2429,8528.47,1705.69,-20.71,-1.0,2436.9213,2416.2075
2026-04-28,COIN,LONG,eod,194.14,193.6661,194.12,0.2441,8413.55,1682.71,-0.87,-0.04,2416.2075,2415.3407
2026-04-30,COIN,LONG,sl,184.54,184.0768,184.0768,0.251,8179.0,1635.8,-20.53,-1.0,2415.3407,2394.8103
2026-05-01,COIN,LONG,sl,193.01,192.5427,192.5427,0.2421,8407.03,1681.41,-20.36,-1.0,2394.8103,2374.4544
2026-05-04,COIN,LONG,eod,202.34,201.8981,203.06,0.2184,9241.32,1848.26,32.88,1.63,2374.4544,2407.3384
2026-05-05,COIN,SHORT,eod,202.51,203.005,197.72,0.2444,8372.2,1674.44,198.03,9.68,2407.3384,2605.3674
2026-05-07,COIN,SHORT,eod,194.22,194.7124,192.88,0.2535,8734.73,1746.95,60.26,2.72,2605.3674,2665.6317
2026-05-08,COIN,LONG,eod,187.31,186.7702,201.34,0.2882,7862.75,1572.55,588.94,25.99,2665.6317,3254.5716
2026-05-11,COIN,LONG,eod,201.28,200.6961,216.69,0.2901,9536.83,1907.37,730.14,26.39,3254.5716,3984.7115
2026-05-13,COIN,SHORT,sl,199.42,200.0026,200.0026,0.2921,11593.64,2318.73,-33.87,-1.0,3984.7115,3950.8415
2026-05-14,COIN,SHORT,sl,195.42,196.0329,196.0329,0.3136,10707.54,2141.51,-33.58,-1.0,3950.8415,3917.2593
2026-05-15,COIN,SHORT,sl,196.54,197.1921,197.1921,0.3318,10035.23,2007.05,-33.3,-1.0,3917.2593,3883.9626
2026-05-18,COIN,LONG,sl,190.94,190.3024,190.3024,0.3339,9886.16,1977.23,-33.01,-1.0,3883.9626,3850.9489
2026-05-19,COIN,LONG,sl,190.14,189.5274,189.5274,0.3222,10160.13,2032.03,-32.73,-1.0,3850.9489,3818.2158
2026-05-20,COIN,LONG,sl,193.99,193.3632,193.3632,0.3231,10044.18,2008.84,-32.45,-1.0,3818.2158,3785.761
2026-05-21,COIN,LONG,sl,191.22,190.6836,190.6836,0.2805,11471.05,2294.21,-32.18,-1.0,3785.761,3753.582
2026-05-22,COIN,SHORT,eod,191.54,192.093,185.03,0.2887,11050.5,2210.1,375.58,11.77,3753.582,4129.163
2026-05-26,COIN,LONG,sl,187.51,186.9901,186.9901,0.2773,12659.08,2531.82,-35.1,-1.0,4129.163,4094.0651
2026-05-27,COIN,LONG,sl,179.35,178.8589,178.8589,0.2738,12708.15,2541.63,-34.8,-1.0,4094.0651,4059.2655
2026-05-28,COIN,LONG,eod,171.6,171.1176,182.26,0.2811,12272.65,2454.53,762.39,22.1,4059.2655,4821.6574
2026-05-29,COIN,LONG,eod,184.4,183.8978,189.08,0.2724,15047.61,3009.52,381.9,9.32,4821.6574,5203.5599
2026-06-01,COIN,LONG,sl,179.66,179.1256,179.1256,0.2975,14868.72,2973.74,-44.23,-1.0,5203.5599,5159.3296
2026-06-02,COIN,SHORT,eod,175.69,176.1933,174.06,0.2865,15309.09,3061.82,142.03,3.24,5159.3296,5301.3628
2026-06-03,COIN,SHORT,eod,169.5,170.0093,163.34,0.3005,14996.95,2999.39,545.02,12.1,5301.3628,5846.3846
2026-06-04,COIN,LONG,sl,165.08,164.593,164.593,0.295,16844.56,3368.91,-49.69,-1.0,5846.3846,5796.6903
2026-06-05,COIN,SHORT,eod,155.9,156.4125,152.52,0.3288,14987.32,2997.46,324.93,6.59,5796.6903,6121.6238
2026-06-08,COIN,LONG,eod,157.73,157.2036,162.18,0.3337,15590.76,3118.15,439.86,8.45,6121.6238,6561.4824
2026-06-09,COIN,LONG,sl,163.64,163.0644,163.0644,0.3517,15856.97,3171.39,-55.77,-1.0,6561.4824,6505.7098
