session_date,symbol,side,outcome,entry,sl,exit_price,pnl_usdt,pnl_r,fake_breakout,fake_breakout_p,f_or_width_pct,f_vol_ratio,f_side_long,f_vwap_dist_pct,f_risk_frac_pct,f_minutes_after_or,f_gap_pct,f_pm_rvol,f_pm_regime_go,f_pm_regime_fade,f_atr_pct,f_sync_same_side
2026-02-23,COINUSDT,SHORT,session_close,162.07,162.43373457,160.21,43.4658,5.113619,0,0.629,2.7216,1.0,0.0,-1.5157339421237692,0.22443053618807898,155.0,-3.07,0.09,0.0,0.0,4.488610476954403,0.0
2026-02-24,COINUSDT,LONG,loss,156.1,155.72738932,155.72738932,-8.8695,-1.0,1,0.8154,2.1003,1.0,1.0,0.9220371556694446,0.23869998718770544,0.0,0.0,0.0,0.0,0.0,4.774,0.0
2026-02-25,COINUSDT,LONG,session_close,174.33,173.89621866,184.0,196.0403,22.292337,0,0.8183,4.4993,1.0,1.0,1.4009413181896415,0.24882770607469987,45.0,5.8,0.1,0.0,0.0,4.976554236218666,0.0
2026-02-26,COINUSDT,LONG,loss,184.91,184.47316733,184.47316733,-10.4604,-1.0,1,0.8032,1.9614,1.0,1.0,0.7247282461738094,0.23624069547347418,10.0,0.0,0.0,0.0,0.0,4.724813693148018,0.0
2026-02-27,COINUSDT,LONG,loss,176.34,175.89386966,175.89386966,-10.3715,-1.0,1,0.7631,2.3093,1.0,1.0,1.1569655211523286,0.25299440852897603,35.0,-3.3,1.13,0.0,0.0,5.059888283996824,0.0
2026-03-02,COINUSDT,LONG,loss,180.71,180.25197199,180.25197199,-10.2833,-1.0,1,0.7932,4.5206,1.0,1.0,0.9523402136019105,0.253460245697538,15.0,-1.95,0.31,0.0,0.0,5.069204803275967,0.0
2026-03-03,COINUSDT,SHORT,loss,175.88,176.35599029,176.35599029,-10.1959,-1.0,1,0.7734,2.2538,1.0,0.0,-0.8350528769615686,0.27063355128496625,0.0,0.0,0.0,0.0,0.0,5.412671139413237,0.0
2026-03-04,COINUSDT,LONG,session_close,205.19,204.63208044,208.8,65.4117,6.470467,0,0.8064,4.6052,1.0,1.0,1.6118875188849389,0.2719038744578136,20.0,0.0,0.0,0.0,0.0,5.438077391685755,0.0
2026-03-05,COINUSDT,LONG,loss,212.67,212.1065747,212.1065747,-10.6653,-1.0,1,0.8,3.1688,1.0,1.0,1.184633469694822,0.26492937414773,10.0,0.0,0.0,0.0,0.0,5.298587482954813,0.0
2026-03-06,COINUSDT,SHORT,loss,197.84,198.41021635,198.41021635,-10.5746,-1.0,1,0.7462,2.4565,1.0,0.0,-1.039834209462193,0.28822096138294057,5.0,0.0,0.0,0.0,0.0,5.764419227658714,0.0
