date,wallet_usdt,return_pct
2026-04-09,10000.0000,0.0000
2026-04-09,9915.0000,-0.8500
2026-04-13,9830.7225,-1.6928
2026-04-14,11170.3867,11.7039
2026-04-15,11075.4384,10.7544
2026-04-16,10981.2972,9.8130
2026-04-17,10887.9562,8.8796
2026-04-20,10795.4086,7.9541
2026-04-21,11712.6644,17.1266
2026-04-22,11613.1068,16.1311
2026-04-23,11514.3954,15.1440
2026-04-24,11416.5230,14.1652
2026-04-27,12403.7579,24.0376
2026-04-28,12298.3260,22.9833
2026-04-30,12193.7902,21.9379
2026-05-01,12090.1430,20.9014
2026-05-04,11987.3768,19.8738
2026-05-05,11885.4841,18.8548
2026-05-06,11784.4575,17.8446
2026-05-07,11684.2896,16.8429
2026-05-08,11584.9731,15.8497
2026-05-11,12315.7640,23.1576
2026-05-13,15756.4209,57.5642
2026-05-14,15622.4913,56.2249
2026-05-15,15489.7001,54.8970
2026-05-18,15358.0376,53.5804
2026-05-19,15227.4943,52.2749
2026-05-20,15098.0606,50.9806
2026-05-21,14969.7271,49.6973
2026-05-22,14842.4844,48.4248
2026-05-26,15862.2796,58.6228
2026-05-27,15727.4502,57.2745
2026-05-28,15593.7669,55.9377
2026-05-29,15461.2199,54.6122
2026-06-01,15329.7995,53.2980
2026-06-02,15199.4962,51.9950
2026-06-03,15070.3005,50.7030
2026-06-04,17252.1812,72.5218
2026-06-05,17105.5377,71.0554
2026-06-08,16960.1406,69.6014
2026-06-09,16815.9794,68.1598
