date,wallet_usdt,return_pct
2026-02-17,10000.0000,0.0000
2026-02-17,9915.0000,-0.8500
2026-02-18,9830.7225,-1.6928
2026-02-19,9747.1614,-2.5284
2026-02-20,9664.3105,-3.3569
2026-02-23,9582.1639,-4.1784
2026-02-24,10128.7115,1.2871
2026-02-25,10042.6175,0.4262
2026-02-26,10437.2772,4.3728
2026-02-27,10348.5603,3.4856
2026-03-03,10260.5975,2.6060
2026-03-04,10970.8353,9.7084
2026-03-05,10877.5832,8.7758
2026-03-06,11282.5427,12.8254
2026-03-09,11186.6411,11.8664
2026-03-10,11091.5547,10.9155
2026-03-12,10997.2765,9.9728
2026-03-13,10903.7996,9.0380
2026-03-16,10811.1173,8.1112
2026-03-17,11142.7250,11.4273
2026-03-19,12835.6801,28.3568
2026-03-20,15314.8659,53.1487
2026-03-23,15184.6895,51.8469
2026-03-24,15055.6196,50.5562
2026-03-25,14927.6468,49.2765
2026-03-26,14800.7618,48.0076
2026-03-27,14674.9553,46.7496
2026-03-30,14550.2182,45.5022
2026-03-31,16722.1191,67.2212
2026-04-01,17745.1155,77.4512
2026-04-02,21085.9696,110.8597
2026-04-06,20906.7389,109.0674
2026-04-08,20729.0316,107.2903
2026-04-09,20552.8348,105.5283
2026-04-13,20378.1357,103.7814
2026-04-14,20204.9215,102.0492
2026-04-15,20033.1797,100.3318
2026-04-16,21871.9208,118.7192
2026-04-17,21686.0095,116.8601
2026-04-20,21501.6784,115.0168
2026-04-21,21318.9141,113.1891
2026-04-22,23431.4117,134.3141
2026-04-24,23232.2447,132.3224
2026-04-27,23034.7706,130.3477
2026-04-28,22838.9750,128.3897
2026-04-30,22644.8437,126.4484
2026-05-01,24695.5564,146.9556
2026-05-04,24485.6442,144.8564
2026-05-05,25072.5849,150.7258
2026-05-06,24859.4679,148.5947
2026-05-07,24648.1624,146.4816
2026-05-08,30165.7729,201.6577
2026-05-11,29909.3638,199.0936
2026-05-13,29655.1342,196.5513
2026-05-14,29403.0656,194.0307
2026-05-15,29153.1395,191.5314
2026-05-18,28905.3378,189.0534
2026-05-19,28659.6424,186.5964
2026-05-20,28416.0354,184.1604
2026-05-21,28174.4991,181.7450
2026-05-22,27935.0159,179.3502
2026-05-26,27697.5683,176.9757
2026-05-28,27462.1390,174.6214
2026-05-29,31499.5746,214.9957
2026-06-01,31231.8282,212.3183
2026-06-02,30966.3577,209.6636
2026-06-03,30703.1437,207.0314
2026-06-04,30442.1670,204.4217
2026-06-05,30183.4086,201.8341
2026-06-08,29926.8496,199.2685
2026-06-09,32262.8533,222.6285
