date,wallet_usdt,return_pct
2026-02-23,1000.0000,0.0000
2026-02-23,991.5000,-0.8500
2026-02-24,983.0722,-1.6928
2026-02-25,974.7161,-2.5284
2026-02-26,966.4310,-3.3569
2026-02-27,958.2163,-4.1784
2026-03-02,1006.6566,0.6657
2026-03-03,998.1000,-0.1900
2026-03-04,1007.5088,0.7509
2026-03-05,998.9450,-0.1055
2026-03-06,990.4540,-0.9546
2026-03-09,982.0351,-1.7965
2026-03-10,973.6878,-2.6312
2026-03-12,965.4115,-3.4588
2026-03-13,957.2055,-4.2794
2026-03-16,949.0693,-5.0931
2026-03-17,941.0022,-5.8998
2026-03-19,933.0037,-6.6996
2026-03-20,925.0732,-7.4927
2026-03-23,917.2101,-8.2790
2026-03-24,909.4138,-9.0586
2026-03-25,938.4019,-6.1598
2026-03-26,930.4255,-6.9574
2026-03-27,965.7135,-3.4286
2026-03-30,957.5049,-4.2495
2026-03-31,949.3661,-5.0634
2026-04-01,941.2965,-5.8703
2026-04-02,933.2955,-6.6705
2026-04-06,925.3625,-7.4638
2026-04-07,957.4439,-4.2556
2026-04-08,949.3056,-5.0694
2026-04-09,941.2365,-5.8763
2026-04-13,1083.4063,8.3406
2026-04-14,1074.1973,7.4197
2026-04-15,1164.7172,16.4717
2026-04-16,1154.8171,15.4817
2026-04-17,1326.1484,32.6148
2026-04-20,1314.8761,31.4876
2026-04-21,1303.6997,30.3700
2026-04-22,1292.6183,29.2618
2026-04-23,1281.6310,28.1631
2026-04-24,1373.1384,37.3138
2026-04-27,1361.4667,36.1467
2026-04-28,1349.8942,34.9894
2026-04-30,1338.4201,33.8420
2026-05-01,1427.1757,42.7176
2026-05-04,1415.0447,41.5045
2026-05-05,1403.0168,40.3017
2026-05-06,1391.0912,39.1091
2026-05-07,1379.2669,37.9267
2026-05-08,1367.5431,36.7543
2026-05-11,1514.9730,51.4973
2026-05-13,1502.0957,50.2096
2026-05-14,1489.3279,48.9328
2026-05-15,1476.6686,47.6669
2026-05-18,1464.1169,46.4117
2026-05-19,1451.6719,45.1672
2026-05-20,1439.3327,43.9333
2026-05-21,1427.0984,42.7098
2026-05-22,1414.9681,41.4968
2026-05-26,1402.9409,40.2941
2026-05-27,1391.0159,39.1016
2026-05-28,1466.2602,46.6260
2026-05-29,1453.7970,45.3797
2026-06-01,1441.4397,44.1440
2026-06-02,1526.1941,52.6194
2026-06-03,1708.6558,70.8656
2026-06-04,1694.1322,69.4132
2026-06-05,1752.8824,75.2882
2026-06-08,1737.9829,73.7983
2026-06-09,1903.9171,90.3917
