date,wallet_usdt,return_pct
2026-04-06,10000.0000,0.0000
2026-04-06,9915.0000,-0.8500
2026-04-07,10584.5799,5.8458
2026-04-08,10494.6110,4.9461
2026-04-09,10405.4068,4.0541
2026-04-13,10629.5508,6.2955
2026-04-14,11678.5772,16.7858
2026-04-15,12310.8275,23.1083
2026-04-16,13261.0039,32.6100
2026-04-17,13148.2854,31.4829
2026-04-20,13036.5250,30.3652
2026-04-21,14160.5063,41.6051
2026-04-23,14040.1420,40.4014
2026-04-24,13920.8008,39.2080
2026-04-27,13802.4740,38.0247
2026-04-28,13685.1530,36.8515
2026-04-30,13568.8292,35.6883
2026-05-01,13453.4942,34.5349
2026-05-04,13339.1395,33.3914
2026-05-05,13225.7568,32.2576
2026-05-06,13113.3379,31.1334
2026-05-07,17290.8706,72.9087
2026-05-08,17143.8982,71.4390
2026-05-13,17365.2160,73.6522
2026-05-14,17217.6117,72.1761
2026-05-15,17071.2620,70.7126
2026-05-18,16926.1563,69.2616
2026-05-19,16782.2840,67.8228
2026-05-20,18247.8701,82.4787
2026-05-21,18092.7632,80.9276
2026-05-22,17938.9747,79.3897
2026-05-26,17786.4934,77.8649
2026-05-28,19622.6640,96.2266
2026-05-29,19455.8714,94.5587
2026-06-01,19290.4965,92.9050
2026-06-02,19126.5273,91.2653
2026-06-03,21920.5346,119.2053
2026-06-04,21734.2101,117.3421
2026-06-05,21549.4693,115.4947
2026-06-08,21366.2988,113.6630
