date,wallet_usdt,return_pct
2026-02-25,10000.0000,0.0000
2026-02-25,10753.9366,7.5394
2026-02-26,10662.5281,6.6253
2026-02-27,10571.8966,5.7190
2026-03-02,10482.0355,4.8204
2026-03-03,10392.9382,3.9294
2026-03-04,10304.5982,3.0460
2026-03-05,10217.0091,2.1701
2026-03-06,10130.1645,1.3016
2026-03-09,10044.0581,0.4406
2026-03-10,10656.5897,6.5659
2026-03-12,10566.0087,5.6601
2026-03-13,10476.1976,4.7620
2026-03-16,10387.1499,3.8715
2026-03-17,10298.8591,2.9886
2026-03-19,10211.3188,2.1132
2026-03-20,10124.5226,1.2452
2026-03-23,10038.4642,0.3846
2026-03-24,9953.1373,-0.4686
2026-03-25,9868.5356,-1.3146
2026-03-26,9784.6530,-2.1535
2026-03-27,9701.4834,-2.9852
2026-03-30,9619.0208,-3.8098
2026-03-31,9537.2591,-4.6274
2026-04-01,9456.1924,-5.4381
2026-04-02,10750.5054,7.5051
2026-04-06,10659.1261,6.5913
2026-04-07,10568.5235,5.6852
2026-04-08,13294.2243,32.9422
2026-04-09,14391.3618,43.9136
2026-04-13,14269.0352,42.6904
2026-04-14,14147.7484,41.4775
2026-04-15,15382.2659,53.8227
2026-04-16,15251.5166,52.5152
2026-04-17,15121.8787,51.2188
2026-04-21,14993.3427,49.9334
2026-04-22,14865.8993,48.6590
2026-04-23,17228.7879,72.2879
2026-04-24,17082.3432,70.8234
2026-04-27,16937.1433,69.3714
2026-04-28,16793.1776,67.9318
2026-04-30,16650.4356,66.5044
2026-05-01,16508.9069,65.0891
2026-05-04,16368.5812,63.6858
2026-05-05,16229.4483,62.2945
2026-05-06,16091.4980,60.9150
2026-05-07,15954.7203,59.5472
2026-05-08,15819.1052,58.1911
2026-05-11,15684.6428,56.8464
2026-05-13,17304.8305,73.0483
2026-05-14,17157.7394,71.5774
2026-05-15,17011.8986,70.1190
2026-05-18,16867.2975,68.6730
2026-05-19,16723.9255,67.2393
2026-05-20,18070.9654,80.7097
2026-05-21,17917.3622,79.1736
2026-05-22,17765.0646,77.6506
2026-05-26,17614.0616,76.1406
2026-05-27,17464.3421,74.6434
2026-05-28,17315.8952,73.1590
2026-05-29,19311.7679,93.1177
2026-06-01,19147.6179,91.4762
2026-06-02,18984.8631,89.8486
2026-06-03,18823.4918,88.2349
2026-06-04,19540.5029,95.4050
2026-06-05,21424.4330,114.2443
2026-06-08,21242.3253,112.4233
2026-06-09,22709.1118,127.0911
