date,wallet_usdt,return_pct
2026-04-20,10000.0000,0.0000
2026-04-20,9915.0000,-0.8500
2026-04-21,9830.7225,-1.6928
2026-04-22,10794.4736,7.9447
2026-04-23,10702.7206,7.0272
2026-04-24,10611.7475,6.1175
2026-04-27,10521.5476,5.2155
2026-04-28,10432.1144,4.3211
2026-04-30,10343.4414,3.4344
2026-05-01,10255.5221,2.5552
2026-05-04,10168.3502,1.6835
2026-05-05,10081.9192,0.8192
2026-05-06,9996.2229,-0.0378
2026-05-07,9911.2550,-0.8875
2026-05-08,11417.4565,14.1746
2026-05-11,11320.4081,13.2041
2026-05-13,11224.1846,12.2418
2026-05-14,11128.7790,11.2878
2026-05-15,11034.1844,10.3418
2026-05-18,10940.3938,9.4039
2026-05-19,10847.4005,8.4740
2026-05-20,11890.1534,18.9015
2026-05-21,11789.0871,17.8909
2026-05-22,11688.8799,16.8888
2026-05-26,11589.5244,15.8952
2026-05-27,11491.0134,14.9101
2026-05-28,11393.3398,13.9334
2026-05-29,11296.4964,12.9650
2026-06-01,11906.1964,19.0620
2026-06-02,11804.9937,18.0499
2026-06-03,11704.6513,17.0465
2026-06-04,11605.1618,16.0516
2026-06-05,15426.2418,54.2624
2026-06-08,15295.1187,52.9512
2026-06-09,15165.1102,51.6511
