ticker,sym,tier,listed_date,calendar_days,trading_days_est,samples_est,status,note
AAOI,AAOIUSDT,too_new,2026-06-08,3.8,2.7,1,TRADING,上币不足约 15 个交易日
AMAT,AMATUSDT,too_new,2026-06-08,3.8,2.7,1,TRADING,上币不足约 15 个交易日
ARM,ARMUSDT,too_new,2026-05-26,16.6,11.9,7,TRADING,上币不足约 15 个交易日
ASTS,ASTSUSDT,too_new,2026-06-01,10.6,7.6,4,TRADING,上币不足约 15 个交易日
AXTI,AXTIUSDT,too_new,2026-06-08,3.8,2.7,1,TRADING,上币不足约 15 个交易日
BBX,BBXUSDT,too_new,2026-06-01,10.6,7.6,4,TRADING,上币不足约 15 个交易日
BE,BEUSDT,too_new,2026-05-26,16.6,11.9,7,TRADING,上币不足约 15 个交易日
BX,BXUSDT,too_new,2026-06-08,3.8,2.7,1,TRADING,上币不足约 15 个交易日
COHR,COHRUSDT,too_new,2026-05-26,16.6,11.9,7,TRADING,上币不足约 15 个交易日
CRDO,CRDOUSDT,too_new,2026-06-08,3.8,2.7,1,TRADING,上币不足约 15 个交易日
CRM,CRMUSDT,too_new,2026-06-03,8.8,6.3,4,TRADING,上币不足约 15 个交易日
CRWD,CRWDUSDT,too_new,2026-06-08,3.8,2.7,1,TRADING,上币不足约 15 个交易日
DELL,DELLUSDT,too_new,2026-06-03,8.8,6.3,4,TRADING,上币不足约 15 个交易日
EWT,EWTUSDT,too_new,2026-06-01,10.6,7.6,4,TRADING,上币不足约 15 个交易日
HPE,HPEUSDT,too_new,2026-06-08,3.8,2.7,1,TRADING,上币不足约 15 个交易日
IBM,IBMUSDT,too_new,2026-06-03,8.8,6.3,4,TRADING,上币不足约 15 个交易日
IREN,IRENUSDT,too_new,2026-06-03,8.8,6.3,4,TRADING,上币不足约 15 个交易日
IWM,IWMUSDT,too_new,2026-06-08,3.8,2.7,1,TRADING,上币不足约 15 个交易日
LLY,LLYUSDT,too_new,2026-06-01,10.7,7.6,4,TRADING,上币不足约 15 个交易日
NBIS,NBISUSDT,too_new,2026-05-26,16.7,11.9,7,TRADING,上币不足约 15 个交易日
NOK,NOKUSDT,too_new,2026-06-01,10.6,7.6,4,TRADING,上币不足约 15 个交易日
NOW,NOWUSDT,too_new,2026-06-03,8.8,6.3,4,TRADING,上币不足约 15 个交易日
NVO,NVOUSDT,too_new,2026-06-01,10.6,7.6,4,TRADING,上币不足约 15 个交易日
